Issue Type	Issue key	Issue id	Summary	Assignee	Assignee Id	Priority	Status	Custom field (Dev Team)	Labels	Labels	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Created	Custom field (Flagged)	Reporter	Reporter Id	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Resolved	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Updated	Custom field (Request Type)	Custom field (User job to be done)	Custom field (Cluster)	Custom field (Cluster)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Customer)	Custom field (Reason)	Custom field (Reason)	Custom field (Analysis1)	Custom field (Analysis2)	Custom field (Analysis3)	Custom field (Exclude from Analysis)	Custom field (Runbook)	Custom field (Chance of reoccurrence)	Custom field (Chance of Reoccurrence)
Support Request	THQ-3747	253531	**Outage related** [Fossils] Orders failed due to Invalid DISCOUNTTYPECODE.			Medium	Done									25/Oct/25 1:36 AM	Impediment	Ankita Dubey	631627f58d88ec800fbf5779								05/Nov/25 5:51 PM							Resolved by Retailer						05/Nov/25 5:51 PM				Promotions		Medium		Fossil					FeatureRequest	Yes			Zero
Support Request	THQ-3746	253529	BERRAK IS TESTING THIS [ctshirts] Barcodes returning incorrect products			Medium	Triage									24/Oct/25 11:06 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 2:26 PM				Count Inventory		Medium		Charles Tyrwhitt			ScanReturnsWrongProduct						
Support Request	THQ-3744	253524	**Outage related** [Oroton] Refund did not proceed due to AWS incident			Medium	Done									24/Oct/25 9:16 PM		Ankita Dubey	631627f58d88ec800fbf5779								05/Nov/25 5:51 PM							"Resolved by retailer
"						05/Nov/25 8:33 PM				Order Data		High		Oroton			RefundFailed						Zero
Support Request	THQ-3742	253461	[RMwilliams] Disabled store showing up in the transfer Menu			Medium	Triage									24/Oct/25 5:43 AM	Impediment	Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					07/Nov/25 1:33 PM				Receive/Transfer/Adjust Inventory		Medium		RM Williams					FeatureRequest	Yes			High
Support Request	THQ-3741	253441	+**Delete coupon ** [untuckit] Delete codes from Coupon			Medium	Triage									23/Oct/25 8:42 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 4:51 PM				Promotions		Medium		Untuckit			PromotionsCannotDeleteCoupon		Request				
Support Request	THQ-3736	253408	[monkeysports] - Pending orders October 16	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									23/Oct/25 12:01 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								23/Oct/25 1:33 PM							"We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. Refer to this [Slack conversation|https://newstoreinc.slack.com/archives/C07U2UP31CP/p1761006415799369] here.

With that in mind we will be closing this ticket."						05/Nov/25 10:10 AM				Routing		High		Monkey Sports	Order_Discrepancy	Order_Routing	OrderStuck	Pending		Yes			Zero
Support Request	THQ-3734	253356	**Weird workflow** [roots] order cancelled but then shipped, leading to failed payment	Berrak Celik	5aa7b7d6655d8c2a1c233e88	Medium	Done									22/Oct/25 8:51 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								29/Oct/25 8:42 PM							duplicate.						05/Nov/25 10:35 AM				Order Data		High		Roots	bug		OrderUnexpectedWorkflow						Zero
Support Request	THQ-3727	253281	[Frame Denim] Orders stuck in Pending due to an earlier incident. 	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									22/Oct/25 1:36 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								22/Oct/25 2:41 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:12 AM				Routing		High		Frame			OrderStuck	Pending		Yes			Zero
Support Request	THQ-3726	253246	[multiple retailers] orders stuck in Pending on 17th of October	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Oct/25 4:12 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								22/Oct/25 3:21 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:14 AM				Routing		High		Footasylum	Order_Discrepancy		OrderStuck	Pending		Yes			Zero
Support Request	THQ-3725	253220	jamesavery - Stuck Orders from 17th October	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Oct/25 12:49 PM		Vivek Bharti	5c8787bebddad83db0c4522b								22/Oct/25 2:40 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:15 AM				Routing		High		James Avery			OrderStuck						Zero
Support Request	THQ-3724	253213	CTShirts - Orders in pending from 17th October 2025	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Oct/25 11:38 AM		Vivek Bharti	5c8787bebddad83db0c4522b								22/Oct/25 2:49 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:14 AM				Routing		High		Charles Tyrwhitt	Stuck_In_Routing		OrderStuck	Pending		Yes			Zero
Support Request	THQ-3719	253193	[boardriders] - Order stuck in Pending	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									21/Oct/25 10:46 AM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								22/Oct/25 2:39 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:14 AM				Routing		High		Boardriders	Order_Discrepancy		OrderStuck	Pending		Yes			Zero
Support Request	THQ-3717	253175	Orders stuck in Pending (Lorna Jane)	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Oct/25 2:23 AM		Austin Grady	621c7d1b8a4bb60068f08be9								22/Oct/25 2:47 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:13 AM				Routing		High		Lorna Jane	Order_Discrepancy		OrderStuck	Pending		Yes			Zero
Support Request	THQ-3716	253174	Orders stuck in Routing Post AWS Outage (Anine Bing)	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done									21/Oct/25 2:09 AM		Austin Grady	621c7d1b8a4bb60068f08be9								28/Oct/25 10:50 AM							Missing notifications from dc about shipping the goods. The orders were marked as shipped by retailer.						05/Nov/25 10:15 AM				Routing		High		Anine Bing	Stuck_In_Routing		OrderStuck						Low
Support Request	THQ-3715	253171	Orders stuck in Pending  since Oct 17 (Marine Layer)	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									21/Oct/25 12:59 AM		Austin Grady	621c7d1b8a4bb60068f08be9								22/Oct/25 2:37 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:13 AM				Routing		High		Marine Layer	Order_Discrepancy		OrderStuck	Pending		Yes			Zero
Support Request	THQ-3714	253091	[burton] Order stuck in pending since Oct 17. LO voided and there is not FFR	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									20/Oct/25 5:00 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								22/Oct/25 2:46 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:13 AM				Routing		High		Burton			OrderStuck	Pending		Yes			Zero
Support Request	THQ-3713	253090	[ganni] Order stuck in pending since Oct 17. LO voided and there is not FFR	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									20/Oct/25 4:52 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								22/Oct/25 4:08 PM							see linked ticket						05/Nov/25 10:13 AM				Routing		High		Ganni	Order_Discrepancy		OrderStuck	Pending		Yes			Low
Support Request	THQ-3710	252768	Order Stuck Pending | [aninebing] orders stuck in Pending	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									17/Oct/25 7:40 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								22/Oct/25 2:38 PM							We’ve resolved all reported as part of a wider incident affecting all retailers. In total 516 orders (including the ones reported here, have been resolved. See comments for more details and references to more info.						05/Nov/25 10:13 AM				Routing		High		Anine Bing	Order_Discrepancy		OrderStuck	Pending					Zero
Support Request	THQ-3707	252637	Ganni - Pending bug fix related to THQ-1535 and THQ-3628	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									16/Oct/25 2:25 PM		Vivek Bharti	5c8787bebddad83db0c4522b								22/Oct/25 2:31 PM							Investigated and found that issue originates from team TIDE external order service APIs. There is a long term solution in sight (developed by team TIDE + team DevEx). Nothing else to do from team HQ side.						07/Nov/25 1:16 PM				Order Data		High		Ganni	Order_Discrepancy		OrderStuck	Pending		Yes			Low
Support Request	THQ-3705	252543	[lagance-sandbox] full import not removing products from catalog	Berrak Celik	5aa7b7d6655d8c2a1c233e88	Medium	Done									15/Oct/25 8:46 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								22/Oct/25 3:03 PM							Question						06/Nov/25 3:43 PM				Catalog		High		L'AGENCE	Question		CatalogImportDoesNotOverrideOldCatalog						Zero
Support Request	THQ-3704	252536	[footasylum] SKU extended attributes missing from some orders in API/GraphQL			Medium	Triage									15/Oct/25 6:18 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 3:36 PM				Order Data		Medium		Footasylum			MissingOrderItemData						
Support Request	THQ-3703	252530	Jules - Add fr_BE locale in NOM template editor	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									15/Oct/25 3:54 PM		Vivek Bharti	5c8787bebddad83db0c4522b								15/Oct/25 5:52 PM							Added `fr_BE` to locale dropdown in NOM templates editor page. Equivalent to work done on THQ-2527.						05/Nov/25 6:57 PM				Templates				Jules			CannotAddLocaleToTemplate		Request				Zero
Support Request	THQ-3702	252518	On Hold Exception | Ganni - Handle exception in NOM is always getting an error	Michael Watkin	712020:dc7b5d29-9e87-4067-adc6-22813c5973d0	Medium	Done									15/Oct/25 12:46 PM		Vivek Bharti	5c8787bebddad83db0c4522b								20/Oct/25 3:59 PM							"Issue appeared as part of RDS proxy work and got resolved a few days later as can be seen here:

https://newstoreinc.slack.com/archives/C08GB0DS4QK/p1760537836256379"						05/Nov/25 10:38 AM				OnHold Orders		High		Ganni			OnHoldOrderError						Zero
Support Request	THQ-3701	252487	Order Stuck Pending | [Lornajaneoms] Order stuck in pending and have not routed since Oct 11 - Oct 14			Medium	Done									15/Oct/25 7:20 AM		Jorge Yip	60d5c928b1f93b0069c6fe6e								17/Oct/25 3:23 PM							"in addition to the “stuck in pending” bug (for that one we needed to revert some changes), there was another change that broke the reindex functionality

https://newstoreinc.slack.com/archives/C09LS5HQ5G9/p1760536332905849?thread_ts=1760456239.834919&cid=C09LS5HQ5G9"						05/Nov/25 10:13 AM				Routing		High		Lorna Jane			OrderStuck	Pending					Low
Support Request	THQ-3699	252473	**ASN {param} error** | [jamesavery] Error when receiving a large carton			Medium	Done									14/Oct/25 10:44 PM	Impediment	Andrew Bright	627e4e316ba8640069cffb0d								06/Nov/25 10:29 AM							Inventory receiving using carton was timing out when there were more then 600 sku						06/Nov/25 10:29 AM				Receive/Transfer/Adjust Inventory		High		James Avery	bug		CannotReceiveWithCarton	SizeBig					Low
Support Request	THQ-3698	252470	On Hold Exception | [multiple retailers] - Handle exception button in NOM sometimes results in errors	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									14/Oct/25 9:26 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								20/Oct/25 3:57 PM							"The root cause was due to RDS proxy work, and the issue was resolved a few days later, see here for more:
https://newstoreinc.slack.com/archives/C08GB0DS4QK/p1760537836256379"						05/Nov/25 10:38 AM				OnHold Orders		High		Marine Layer			OnHoldOrderError						Zero
Support Request	THQ-3697	252467	**Size Update/Sort** | [universal-sandbox] Update Size and Sorting Configuration	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									14/Oct/25 8:36 PM		Richard Williams	61026b6da539cb006846112e								04/Nov/25 10:35 AM							"Runbook:

https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/3634431665/How+to+update+the+size+sorting+system+for+a+retailer"						06/Nov/25 12:13 PM				Catalog		High		Universal	Configuration		CatalogUpdateSize&Sorting						High
Support Request	THQ-3696	252455	[ctshirts] Instore-handover order remains in pending since Oct 08, 2025, related to #order_mana_inc_195486	Florent Peterschmitt	61dbef5aa54af90069bb001b	Medium	Done									14/Oct/25 5:37 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								15/Oct/25 10:59 AM							Two bugs in CCO: batching insert operations and a wrong insert in a table that is solely used for reindexation. First reverted, second fixed.						05/Nov/25 10:13 AM				Order Data		High		Charles Tyrwhitt	bug		OrderStuck	Pending					Zero
Support Request	THQ-3687	252275	**Size Update/Sort** | [zimmermann] Follow-up to THQ-1186/enable size sorting in Prod	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									12/Oct/25 7:00 PM		Andrew Bright	627e4e316ba8640069cffb0d								04/Nov/25 10:34 AM							"Runbook:

https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/3634431665/How+to+update+the+size+sorting+system+for+a+retailer"						04/Nov/25 9:10 PM				Catalog		Medium		Zimmermann	Configuration		CatalogUpdateSize&Sorting						High
Support Request	THQ-3685	252241	[axelarigato] Placed order not appearing in NOM			Medium	Triage									10/Oct/25 10:52 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 10:40 AM				Order Data		High		Axel Arigato			MissingOrder						
Support Request	THQ-3682	252167	[BIRKENSTOCK-US] - Request for SMTP credentials from the backend			Critical	Done									10/Oct/25 12:58 AM		Sandeep Narasimha	60706803f8e477006886782b								22/Oct/25 10:42 AM							there will be another support ticket.						04/Nov/25 4:54 PM				Store		Low		Birkenstock	Configuration		EmailNotifications						Zero
Support Request	THQ-3766	252162	Push an item from Cart to Order [Lorna Jane]			Medium	Triage									09/Oct/25 7:54 PM		Austin Grady	621c7d1b8a4bb60068f08be9																					05/Nov/25 11:54 PM				Order Data		High		Lorna Jane			PromotionsUpdateDiscount		Request				
Support Request	THQ-3674	252137	[Ganni] - Book Shipment request does not contain email anymore			Medium	Triage									09/Oct/25 4:27 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e																					07/Nov/25 1:30 PM				Fulfill Orders		High		Ganni			ShipmentBookingMissingAddress						
Support Request	THQ-3673	252078	{Order Stuck} | Order stuck in Mispick (Lorna Jane)			Medium	To Do									08/Oct/25 8:43 PM		Austin Grady	621c7d1b8a4bb60068f08be9																					06/Nov/25 5:48 PM				Fulfill Orders		High		Lorna Jane			OrderStuck	Mispick					
Support Request	THQ-3667	251924	[TLG] [offwhite][brooksbrothers] - Events not send on historical orders 	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									07/Oct/25 12:22 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								14/Oct/25 10:18 AM							"Followed this runbook.


Sales Order UUIDs replayed:
ffff1db3-5eab-4139-9f05-1d8979ca1217
8080ade0-d513-45a6-b380-ec923368121a
58f3d6ed-c67f-421f-ae17-b1d7a92a6a00
e5aecdf6-4815-4c57-a80f-39e0171c8a6b

FFR IDs replayed:
1cb40fd9-66d5-40a1-b402-58a7b29d2256
a16f203e-b42c-4280-aebf-fe20d1bf326f
69b21bba-28fc-472b-b1aa-7a92daa01790
8a867769-37cc-4881-92c4-0103621964d1"						04/Nov/25 3:57 PM				EventStream		High		TLG	Missing_Data		EventsMissing	HistoricalOrder					Low
Support Request	THQ-3666	251919	[Merrell & Saucony] Disabled DC location still appearing as a selectable transfer destination in Associate App			Medium	Triage									07/Oct/25 11:02 AM	Impediment	Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					07/Nov/25 1:33 PM				Receive/Transfer/Adjust Inventory		Medium		Munro					FeatureRequest	Yes			
Support Request	THQ-3665	251872	[footasylum] large number of orders under single profile	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done									06/Oct/25 3:56 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								21/Oct/25 2:01 PM							Integration was ammending a batch of orders and adding assigning them one customer. This way one integration customer had multiple (hundreds) of orders which raised suspicions. Integrators confirmed that this is the issue on their side.						05/Nov/25 3:27 PM				Order Data		Medium		Footasylum	close		OrderWithTooManyAddresses						Zero
Support Request	THQ-3660	251785	[roots] - Missing data in GraphQL and no events.	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									05/Oct/25 1:00 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								22/Oct/25 2:30 PM							Explained to customer how the blind return + exchange orders end up with a new order record, and hence why they saw unusual records in EventStream. Appears our systems behaved as per original design.						04/Nov/25 3:57 PM				EventStream		High		Roots	Missing_Data	TIDE	EventsMissing	Fulfillment_request.items_shipped					Zero
Support Request	THQ-3675	251721	[Charles Tyrwhitt] Returns updating the demand location to return location			Medium	Triage									02/Oct/25 10:45 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 3:06 PM				Order Data		Medium		Charles Tyrwhitt			ReturnUpdatesDemandLocation						
Support Request	THQ-3658	251716	View Settings Permission should be removed for non Newstore users (Funko-Staging)			Medium	Done									02/Oct/25 7:19 PM	Impediment	Austin Grady	621c7d1b8a4bb60068f08be9								07/Nov/25 1:32 PM							Platform team will create a ticket						07/Nov/25 1:32 PM				No Classification Available		Low		Funko					FeatureRequest	Yes			Zero
Support Request	THQ-3655	251623	{Cancel order} [Filson] Cannot cancel the order			Medium	Triage									01/Oct/25 9:30 PM		Ankita Dubey	631627f58d88ec800fbf5779																					06/Nov/25 12:39 PM				Order Data		Medium		Shinola/Filson			CannotCancelOrder						
Support Request	THQ-3654	251618	[oroton] using employee API endpoint does not fully assign users to a Store			Medium	Triage									01/Oct/25 7:56 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9																					06/Nov/25 2:54 PM				Employee		Medium		Oroton			UsersMissingStoreAssignment						
Support Request	THQ-3653	251616	Order missing FF location and stuck in Pending (Lorna Jane)	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done									01/Oct/25 7:37 PM		Austin Grady	621c7d1b8a4bb60068f08be9								08/Oct/25 12:15 PM							The issue was resolved by replying the event using this [runbook|https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/5274075137/Order+stuck+in+Pending+status#Re-driving-stuck-events].						05/Nov/25 10:13 AM				Order Data		High		Lorna Jane	Stuck_In_Routing		OrderStuck	Pending					Low
Support Request	THQ-3648	251424	**Requires double scan** [jamesavery-staging] - Inventory Adjustments not registering first scan	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done		aa_release_v.1.72.0							29/Sep/25 1:48 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								29/Oct/25 11:33 AM							UI race condition, forcing the user to scan twice.						05/Nov/25 5:14 PM				Receive/Transfer/Adjust Inventory		High		James Avery	bug		InventoryScanNeedsRepeat						Zero
Support Request	THQ-3683	251406	**Exchange order not linked to original** [Munro Footwear] Return workflow not working as expected			Medium	Triage									29/Sep/25 4:48 AM	Impediment	Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					05/Nov/25 3:31 PM				Order Data		Medium		Munro			ExchangeOrderMissingOriginalOrderlD						
Support Request	THQ-3645	251353	[Funko] Number pad doesn't appear while editing transfer in AA v1.69.0(2)			Medium	Triage									26/Sep/25 1:22 AM		Ankita Dubey	631627f58d88ec800fbf5779																					06/Nov/25 8:05 PM				Receive/Transfer/Adjust Inventory		Medium		Funko			TransferCannotTypeQuantity		UXRequest				
Support Request	THQ-3644	251350	[Birkenstock] Stock Export Report SOX Compliance Inquiries	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done									25/Sep/25 11:01 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								24/Oct/25 10:33 AM							Request for info on latest changes						05/Nov/25 5:32 PM				Stock		High		Birkenstock	request_for_explanation				Question	Yes			Zero
Support Request	THQ-3642	251333	[Zimmermann] Receiving transactions show blank product name, SKU, and image			Medium	Triage									25/Sep/25 2:15 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					05/Nov/25 3:12 PM				Catalog		Medium		Zimmermann			ReceivingNoProductDetails						
Support Request	THQ-3641	251296	[zimmermann/tryzens] Store Transfer Config Not Enforcing Destination Limit in App	Mitun Pandey	6389ca362acfad92d7b4a77b	Medium	Done									24/Sep/25 7:51 PM	Impediment	Mallory Olivieri	5cecf2714283500fc709051e								07/Oct/25 10:19 AM							Product gap						05/Nov/25 5:32 PM				Receive/Transfer/Adjust Inventory		Medium		Zimmermann	close				FeatureRequest	Yes			Low
Support Request	THQ-3640	251265	[roots] request to increase frequency of SFCC exports	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									24/Sep/25 2:02 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								16/Oct/25 4:19 PM							"Agreed on export rate increase from 6h to 1h. Validated in staging. Prod has gone from 6h to 3h, will be migrated to 1h when Roots finds time. No work required from NewStore in the mean time. We have metrics to track this in Prometheus.

See comment thread for full information."						05/Nov/25 4:06 PM				Stock		High		Roots	Availability_Export		AvailabilityExportCannotincreasefrequency						Zero
Support Request	THQ-3638	251220	[boardriders] fulfillment request failed to send to DC	Fabio Ribeiro	629a28b4e000550067e7f783	Medium	Done									23/Sep/25 9:48 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								16/Oct/25 1:05 PM							Failed to dispatch the event in sales_order.						05/Nov/25 12:36 PM				Routing		High		Boardriders	Stuck_In_Routing		FulfillmentRequestNotSentToDC						Low
Support Request	THQ-3637	251188	{Remove catalog} rmwilliams - Remove mistaken created locale en-gb from the catalog			Medium	Triage									23/Sep/25 1:39 PM		Vivek Bharti	5c8787bebddad83db0c4522b																					06/Nov/25 12:39 PM				Catalog		Low		RM Williams			CatalogCannotRemoveCatalog		Request				
Support Request	THQ-3635	251178	[TLG-Offwhite] Historical order shows truncated external_id	Ajay Divakaran	712020:dc35510b-aa24-4a52-ae38-2e02e4b022af	Medium	Triage									23/Sep/25 10:43 AM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					05/Nov/25 5:34 PM				Order Data		High		TLG	Question				RetailersError	Yes			
Support Request	THQ-3631	251140	[James Avery] Historical orders was refunded to customer causing duplicate refund	Ajay Divakaran	712020:dc35510b-aa24-4a52-ae38-2e02e4b022af	Medium	Done									22/Sep/25 7:45 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								29/Sep/25 12:35 PM							Required certain activities introduced for historical refunds between refund request and payment to be sequential. This sequencing of activities was missed out during initial story development.						05/Nov/25 10:42 AM				Refund		High		James Avery	Refunds		HistoricalOrdersUnexpectedRefund						Low
Support Request	THQ-3630	251139	[Universal] Pagination on Full counts seems broken 			Medium	Triage									22/Sep/25 7:34 PM		Richard Williams	61026b6da539cb006846112e																					05/Nov/25 2:19 PM				Count Inventory		Medium		Universal			FullCountsNOMPagination						
Support Request	THQ-3628	251117	Ganni - Additional orders shared for correction for issue THQ-1535	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									22/Sep/25 4:21 PM		Vivek Bharti	5c8787bebddad83db0c4522b								13/Oct/25 10:20 AM							"Followed runbook:
https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/5274075137/Order+stuck+in+Pending+status 
to replay `fulfillment_request.items_shipped` orders from CCO using debugee."						07/Nov/25 1:16 PM				Fulfill Orders		High		Ganni	Missing_Data	TIDE	EventsMissing	Order					Low
Support Request	THQ-3627	251104	[Ganni] Order stuck in pending	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									22/Sep/25 12:08 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3								24/Sep/25 10:14 AM							N/A						05/Nov/25 10:13 AM				Routing		High		Ganni	Order_Routing		OrderStuck	Pending					Low
Support Request	THQ-3624	251077	[James Avery] Historical orders was refunded to customer causing duplicate refund	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Critical	Done									20/Sep/25 2:00 AM		Ankita Dubey	631627f58d88ec800fbf5779								23/Sep/25 11:52 AM							Duplicate ticket.						05/Nov/25 10:42 AM				Order Injection		Critical		James Avery	N/A		HistoricalOrdersUnexpectedRefund						Zero
Support Request	THQ-3622	251038	[Axel Arigato] Incorrect Product/EAN Returned in NOM Product Search			Medium	Triage									19/Sep/25 2:36 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					05/Nov/25 12:58 PM				Catalog		Medium		Axel Arigato			CatalogReturnsWrongProduct						
Support Request	THQ-3620	251009	[LornajaneOMS] Orders stuck 	Leon van der Veen	712020:864aa274-4a46-4544-a4e3-2bc6081b54a5	Medium	Done									19/Sep/25 2:04 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								22/Sep/25 10:34 AM							All the instabilities we experiencing lately. Being worked on.						05/Nov/25 10:16 AM				Routing		Low		Lorna Jane	Stuck_In_Routing		OrderStuck						Low
Support Request	THQ-3619	251008	[LornajaneOMS] Associate ID added on after order injection web orders			Medium	Triage									19/Sep/25 1:52 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					05/Nov/25 2:27 PM				Order Data		Medium		Lorna Jane			SalesAttributionToAdmin						
Support Request	THQ-3613	250929	[Anine Bing] - Order/Item not getting the FR, Order stuck.			Medium	Done									18/Sep/25 12:29 AM	Impediment	Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								15/Oct/25 8:59 AM							resolved						05/Nov/25 10:13 AM				Order Data		High		Anine Bing			OrderStuck	Pending					Zero
Support Request	THQ-3612	250924	[Roots]Order stuck in mispick state 			Medium	Done									18/Sep/25 12:25 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								01/Oct/25 5:04 PM							Support reached out saying it can be closed						05/Nov/25 10:17 AM				Routing		High		Roots			OrderStuck	Mispick					Zero
